timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
316,47.6605,346.3848,1.4159,18.368,12.6305,45.4697,12.121,3.5509,-2.26914,-0.13407,-0.1653,336.632,10,1,0,0,1.28358,0.0,"('3r0_2_', '4S0_0_', 2)",,,,,,,,
317,47.8466,347.5916,1.7647,18.085,12.2653,44.1552,11.859,3.1309,-3.65146,-0.19173,-0.18675,337.888,11,1,0,0,1.26195,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
318,47.9397,348.7737,2.0643,15.623,11.918,42.9048,11.6609,2.462,-3.47324,-0.18548,-0.15195,339.107,11,1,0,0,1.23576,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
319,48.1254,349.9379,2.3024,12.544,11.7173,42.1823,11.555,1.9433,-2.00691,-0.1484,-0.09704,340.296,11,1,0,0,1.21697,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
320,48.221,351.0928,2.4915,9.882,11.6191,41.8287,11.5135,1.5628,-0.98218,-0.10363,-0.04898,341.466,11,1,0,0,1.20719,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
321,48.4048,352.2447,2.6476,8.04,11.622,41.8391,11.5357,1.4138,0.02871,-0.04597,-0.00044,342.628,11,1,0,0,1.20415,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
322,48.5134,353.4015,2.7814,6.815,11.7214,42.1971,11.6695,1.1024,0.99442,-0.07337,0.36754,343.793,11,0,0,0,1.20958,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
323,48.6842,354.5709,2.8877,5.552,11.8257,42.5725,11.7928,0.881,1.04282,-0.06242,0.37023,344.967,11,0,0,0,1.22262,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
324,48.7771,355.7526,2.9731,4.424,11.9323,42.9564,11.9113,0.7081,1.06638,-0.04909,0.37435,346.152,11,0,0,0,1.23537,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
325,48.9478,356.946,3.0418,3.507,12.0402,43.3448,12.0265,0.5748,1.07904,-0.03659,0.37777,347.347,11,0,0,0,1.2476,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
326,49.0408,358.1509,3.0979,2.804,12.1486,43.7351,12.1393,0.4762,1.08398,-0.0264,0.37951,348.554,11,0,0,0,1.25956,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
327,49.2266,359.3671,3.1444,2.285,12.2569,44.1249,12.2502,0.4047,1.08292,-0.01881,0.3794,349.771,11,0,0,0,1.27131,0.0,"('3r0_2_', '4S0_0_', 1)",,,,,,,,
328,49.3197,360.5943,3.1841,1.908,12.3647,44.5129,12.3597,0.352,1.07772,-0.01341,0.37777,350.998,12,0,0,0,1.28284,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
329,49.5066,361.8324,3.2187,1.635,12.4716,44.8977,12.4677,0.3111,1.06892,-0.00994,0.37481,352.237,12,0,0,0,1.29425,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
330,49.5996,363.0813,3.2492,1.429,12.5773,45.2782,12.5742,0.2765,1.05688,-0.00821,0.37067,353.486,12,0,0,0,1.30553,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
331,49.7731,364.3409,3.2764,1.264,12.6818,45.6545,12.6793,0.2501,1.04538,-0.00646,0.36662,354.746,12,0,0,0,1.31659,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
332,49.8632,365.6109,3.3009,1.129,12.7849,46.0258,12.783,0.2252,1.03137,-0.00594,0.36175,356.016,12,0,0,0,1.32755,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
333,50.0335,366.8912,3.3231,1.011,12.8868,46.3925,12.8852,0.2046,1.01865,-0.00499,0.35726,357.297,12,0,0,0,1.33833,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
334,50.1418,368.1817,3.3432,0.907,12.9873,46.7542,12.986,0.1845,1.00477,-0.00463,0.35242,358.588,12,0,0,0,1.34897,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
335,50.3432,369.4823,3.3613,0.812,13.0864,47.1111,13.0854,0.166,0.99125,-0.00425,0.34766,359.888,12,0,0,0,1.35949,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
336,50.4365,370.7928,3.3775,0.725,13.1842,47.4631,13.1834,0.1488,0.97787,-0.00389,0.34295,361.199,12,0,0,0,1.36981,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
337,50.6226,372.1131,3.3921,0.644,13.2806,47.8103,13.28,0.132,0.96431,-0.00372,0.33818,362.519,12,0,0,0,1.38004,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
338,50.716,373.443,3.405,0.567,13.3758,48.1528,13.3753,0.1168,0.95138,-0.00333,0.33364,363.849,12,0,0,0,1.39012,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
339,50.8859,374.7824,3.4164,0.498,13.4696,48.4907,13.4692,0.1032,0.93855,-0.00292,0.32917,365.189,12,0,0,0,1.40003,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
340,50.9948,376.1312,3.4266,0.436,13.5622,48.824,13.5619,0.0913,0.92601,-0.00252,0.32476,366.538,12,0,0,0,1.40978,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
341,51.1651,377.4892,3.4355,0.383,13.6536,49.1529,13.6533,0.0808,0.91351,-0.00217,0.32037,367.896,12,0,0,0,1.41947,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
342,51.2581,378.8564,3.4434,0.336,13.7437,49.4772,13.7435,0.0716,0.90098,-0.00187,0.31601,369.263,12,0,0,0,1.42897,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
343,51.4295,380.2325,3.4504,0.295,13.8325,49.7971,13.8324,0.063,0.88862,-0.00171,0.31162,370.639,12,0,0,0,1.43838,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
344,51.5223,381.6175,3.4566,0.258,13.9202,50.1127,13.9201,0.0555,0.87644,-0.00149,0.30733,372.024,12,0,0,0,1.44765,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
345,51.7085,383.0112,3.462,0.226,14.0066,50.4238,14.0065,0.0489,0.86422,-0.00128,0.30309,373.418,12,0,0,0,1.45677,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
346,51.8017,384.4136,3.4668,0.197,14.0918,50.7306,14.0918,0.043,0.8522,-0.00113,0.29888,374.82,12,0,0,0,1.46576,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
347,51.9721,385.8244,3.471,0.172,14.1759,51.0331,14.1758,0.0378,0.84042,-0.00097,0.29473,376.231,12,0,0,0,1.47462,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
348,52.0652,387.2436,3.4747,0.15,14.2587,51.3314,14.2587,0.0331,0.82862,-0.00088,0.29059,377.65,12,0,0,0,1.48338,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
349,52.2511,388.6711,3.4779,0.131,14.3404,51.6255,14.3404,0.0288,0.8169,-0.00079,0.28651,379.078,12,0,0,0,1.49205,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
350,52.3446,390.1068,3.4807,0.113,14.421,51.9155,14.421,0.0251,0.80559,-0.00067,0.28251,380.513,12,0,0,0,1.50053,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
351,52.5154,391.5504,3.4832,0.098,14.5004,52.2014,14.5004,0.0219,0.79417,-0.00056,0.27856,381.957,12,0,0,0,1.50892,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
352,52.6084,393.002,3.4853,0.085,14.5787,52.4833,14.5787,0.0193,0.78312,-0.00047,0.27465,383.409,12,0,0,0,1.5172,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
353,52.7947,394.4615,3.4872,0.074,14.6559,52.7613,14.6559,0.0169,0.77206,-0.00042,0.27077,384.868,12,0,0,0,1.52536,0.0,"('4S0_0_', '5S0_0_', 1)",,,,,,,,
